Test Case ID,Module,Test Description,Expected Result,Priority,Status,Execution Date,Response Time (ms)
B_TC_031,Security-Scan,Verification - Security-Scan step 31,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1386
B_TC_032,DB-Integrity,Verification - DB-Integrity step 32,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1558
B_TC_033,Logic-Validation,Verification - Logic-Validation step 33,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1839
B_TC_034,Rate-Limiting,Verification - Rate-Limiting step 34,Action should succeed,High,PASSED,2026-07-27 13:04:10,1561
B_TC_035,Auth-API,Verification - Auth-API step 35,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1444
B_TC_036,Security-Scan,Verification - Security-Scan step 36,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1951
B_TC_037,DB-Integrity,Verification - DB-Integrity step 37,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,701
B_TC_038,Logic-Validation,Verification - Logic-Validation step 38,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1248
B_TC_039,Rate-Limiting,Verification - Rate-Limiting step 39,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,2126
B_TC_040,Auth-API,Verification - Auth-API step 40,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1202
B_TC_041,Security-Scan,Verification - Security-Scan step 41,Action should succeed,Low,PASSED,2026-07-27 13:04:10,689
B_TC_042,DB-Integrity,Verification - DB-Integrity step 42,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,573
B_TC_043,Logic-Validation,Verification - Logic-Validation step 43,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1024
B_TC_044,Rate-Limiting,Verification - Rate-Limiting step 44,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,493
B_TC_045,Auth-API,Verification - Auth-API step 45,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,794
B_TC_046,Security-Scan,Verification - Security-Scan step 46,Action should succeed,High,PASSED,2026-07-27 13:04:10,597
B_TC_047,DB-Integrity,Verification - DB-Integrity step 47,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1892
B_TC_048,Logic-Validation,Verification - Logic-Validation step 48,Action should succeed,High,PASSED,2026-07-27 13:04:10,1508
B_TC_049,Rate-Limiting,Verification - Rate-Limiting step 49,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,998
B_TC_050,Auth-API,Verification - Auth-API step 50,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1113
B_TC_051,Security-Scan,Verification - Security-Scan step 51,Action should succeed,High,PASSED,2026-07-27 13:04:10,522
B_TC_052,DB-Integrity,Verification - DB-Integrity step 52,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1182
B_TC_053,Logic-Validation,Verification - Logic-Validation step 53,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,619
B_TC_054,Rate-Limiting,Verification - Rate-Limiting step 54,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,547
B_TC_055,Auth-API,Verification - Auth-API step 55,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,467
B_TC_056,Security-Scan,Verification - Security-Scan step 56,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,945
B_TC_057,DB-Integrity,Verification - DB-Integrity step 57,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1410
B_TC_058,Logic-Validation,Verification - Logic-Validation step 58,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1886
B_TC_059,Rate-Limiting,Verification - Rate-Limiting step 59,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,606
B_TC_060,Auth-API,Verification - Auth-API step 60,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1310
B_TC_061,Security-Scan,Verification - Security-Scan step 61,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1562
B_TC_062,DB-Integrity,Verification - DB-Integrity step 62,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,529
B_TC_063,Logic-Validation,Verification - Logic-Validation step 63,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1374
B_TC_064,Rate-Limiting,Verification - Rate-Limiting step 64,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1462
B_TC_065,Auth-API,Verification - Auth-API step 65,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1038
B_TC_066,Security-Scan,Verification - Security-Scan step 66,Action should succeed,Low,PASSED,2026-07-27 13:04:10,714
B_TC_067,DB-Integrity,Verification - DB-Integrity step 67,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1321
B_TC_068,Logic-Validation,Verification - Logic-Validation step 68,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1992
B_TC_069,Rate-Limiting,Verification - Rate-Limiting step 69,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,2001
B_TC_070,Auth-API,Verification - Auth-API step 70,Action should succeed,High,PASSED,2026-07-27 13:04:10,1814
B_TC_071,Security-Scan,Verification - Security-Scan step 71,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,797
B_TC_072,DB-Integrity,Verification - DB-Integrity step 72,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1833
B_TC_073,Logic-Validation,Verification - Logic-Validation step 73,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1791
B_TC_074,Rate-Limiting,Verification - Rate-Limiting step 74,Action should succeed,Low,PASSED,2026-07-27 13:04:10,2196
B_TC_075,Auth-API,Verification - Auth-API step 75,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,697
B_TC_076,Security-Scan,Verification - Security-Scan step 76,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,2158
B_TC_077,DB-Integrity,Verification - DB-Integrity step 77,Action should succeed,High,PASSED,2026-07-27 13:04:10,1279
B_TC_078,Logic-Validation,Verification - Logic-Validation step 78,Action should succeed,Low,PASSED,2026-07-27 13:04:10,2177
B_TC_079,Rate-Limiting,Verification - Rate-Limiting step 79,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,774
B_TC_080,Auth-API,Verification - Auth-API step 80,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,2094
B_TC_081,Security-Scan,Verification - Security-Scan step 81,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1423
B_TC_082,DB-Integrity,Verification - DB-Integrity step 82,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1264
B_TC_083,Logic-Validation,Verification - Logic-Validation step 83,Action should succeed,High,PASSED,2026-07-27 13:04:10,1428
B_TC_084,Rate-Limiting,Verification - Rate-Limiting step 84,Action should succeed,High,PASSED,2026-07-27 13:04:10,1339
B_TC_085,Auth-API,Verification - Auth-API step 85,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,830
B_TC_086,Security-Scan,Verification - Security-Scan step 86,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,470
B_TC_087,DB-Integrity,Verification - DB-Integrity step 87,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1737
B_TC_088,Logic-Validation,Verification - Logic-Validation step 88,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,2155
B_TC_089,Rate-Limiting,Verification - Rate-Limiting step 89,Action should succeed,Low,PASSED,2026-07-27 13:04:10,763
B_TC_090,Auth-API,Verification - Auth-API step 90,Action should succeed,High,PASSED,2026-07-27 13:04:10,449
B_TC_091,Security-Scan,Verification - Security-Scan step 91,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1239
B_TC_092,DB-Integrity,Verification - DB-Integrity step 92,Action should succeed,Low,PASSED,2026-07-27 13:04:10,973
B_TC_093,Logic-Validation,Verification - Logic-Validation step 93,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1177
B_TC_094,Rate-Limiting,Verification - Rate-Limiting step 94,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1429
B_TC_095,Auth-API,Verification - Auth-API step 95,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1148
B_TC_096,Security-Scan,Verification - Security-Scan step 96,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,671
B_TC_097,DB-Integrity,Verification - DB-Integrity step 97,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,554
B_TC_098,Logic-Validation,Verification - Logic-Validation step 98,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1602
B_TC_099,Rate-Limiting,Verification - Rate-Limiting step 99,Action should succeed,Low,PASSED,2026-07-27 13:04:10,992
B_TC_100,Auth-API,Verification - Auth-API step 100,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,807
B_TC_101,Security-Scan,Verification - Security-Scan step 101,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,714
B_TC_102,DB-Integrity,Verification - DB-Integrity step 102,Action should succeed,High,PASSED,2026-07-27 13:04:10,1963
B_TC_103,Logic-Validation,Verification - Logic-Validation step 103,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1609
B_TC_104,Rate-Limiting,Verification - Rate-Limiting step 104,Action should succeed,High,PASSED,2026-07-27 13:04:10,954
B_TC_105,Auth-API,Verification - Auth-API step 105,Action should succeed,High,PASSED,2026-07-27 13:04:10,632
B_TC_106,Security-Scan,Verification - Security-Scan step 106,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1325
B_TC_107,DB-Integrity,Verification - DB-Integrity step 107,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1420
B_TC_108,Logic-Validation,Verification - Logic-Validation step 108,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1915
B_TC_109,Rate-Limiting,Verification - Rate-Limiting step 109,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1207
B_TC_110,Auth-API,Verification - Auth-API step 110,Action should succeed,High,PASSED,2026-07-27 13:04:10,1676
B_TC_111,Security-Scan,Verification - Security-Scan step 111,Action should succeed,Low,PASSED,2026-07-27 13:04:10,499
B_TC_112,DB-Integrity,Verification - DB-Integrity step 112,Action should succeed,Low,PASSED,2026-07-27 13:04:10,957
B_TC_113,Logic-Validation,Verification - Logic-Validation step 113,Action should succeed,High,PASSED,2026-07-27 13:04:10,2167
B_TC_114,Rate-Limiting,Verification - Rate-Limiting step 114,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1133
B_TC_115,Auth-API,Verification - Auth-API step 115,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1682
B_TC_116,Security-Scan,Verification - Security-Scan step 116,Action should succeed,High,PASSED,2026-07-27 13:04:10,1133
B_TC_117,DB-Integrity,Verification - DB-Integrity step 117,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1641
B_TC_118,Logic-Validation,Verification - Logic-Validation step 118,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1883
B_TC_119,Rate-Limiting,Verification - Rate-Limiting step 119,Action should succeed,High,PASSED,2026-07-27 13:04:10,1190
B_TC_120,Auth-API,Verification - Auth-API step 120,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1099
B_TC_121,Security-Scan,Verification - Security-Scan step 121,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1893
B_TC_122,DB-Integrity,Verification - DB-Integrity step 122,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,763
B_TC_123,Logic-Validation,Verification - Logic-Validation step 123,Action should succeed,High,PASSED,2026-07-27 13:04:10,2184
B_TC_124,Rate-Limiting,Verification - Rate-Limiting step 124,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,2131
B_TC_125,Auth-API,Verification - Auth-API step 125,Action should succeed,Low,PASSED,2026-07-27 13:04:10,678
B_TC_126,Security-Scan,Verification - Security-Scan step 126,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1766
B_TC_127,DB-Integrity,Verification - DB-Integrity step 127,Action should succeed,High,PASSED,2026-07-27 13:04:10,1552
B_TC_128,Logic-Validation,Verification - Logic-Validation step 128,Action should succeed,High,PASSED,2026-07-27 13:04:10,912
B_TC_129,Rate-Limiting,Verification - Rate-Limiting step 129,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,649
B_TC_130,Auth-API,Verification - Auth-API step 130,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1092
B_TC_131,Security-Scan,Verification - Security-Scan step 131,Action should succeed,High,PASSED,2026-07-27 13:04:10,412
B_TC_132,DB-Integrity,Verification - DB-Integrity step 132,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,521
B_TC_133,Logic-Validation,Verification - Logic-Validation step 133,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,866
B_TC_134,Rate-Limiting,Verification - Rate-Limiting step 134,Action should succeed,Low,PASSED,2026-07-27 13:04:10,2071
B_TC_135,Auth-API,Verification - Auth-API step 135,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,799
B_TC_136,Security-Scan,Verification - Security-Scan step 136,Action should succeed,High,PASSED,2026-07-27 13:04:10,401
B_TC_137,DB-Integrity,Verification - DB-Integrity step 137,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1836
B_TC_138,Logic-Validation,Verification - Logic-Validation step 138,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,866
B_TC_139,Rate-Limiting,Verification - Rate-Limiting step 139,Action should succeed,Low,PASSED,2026-07-27 13:04:10,673
B_TC_140,Auth-API,Verification - Auth-API step 140,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1296
B_TC_141,Security-Scan,Verification - Security-Scan step 141,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1657
B_TC_142,DB-Integrity,Verification - DB-Integrity step 142,Action should succeed,High,PASSED,2026-07-27 13:04:10,1824
B_TC_143,Logic-Validation,Verification - Logic-Validation step 143,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1665
B_TC_144,Rate-Limiting,Verification - Rate-Limiting step 144,Action should succeed,Low,PASSED,2026-07-27 13:04:10,806
B_TC_145,Auth-API,Verification - Auth-API step 145,Action should succeed,High,PASSED,2026-07-27 13:04:10,1215
B_TC_146,Security-Scan,Verification - Security-Scan step 146,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,849
B_TC_147,DB-Integrity,Verification - DB-Integrity step 147,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,816
B_TC_148,Logic-Validation,Verification - Logic-Validation step 148,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1060
B_TC_149,Rate-Limiting,Verification - Rate-Limiting step 149,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1280
B_TC_150,Auth-API,Verification - Auth-API step 150,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1392
B_TC_151,Security-Scan,Verification - Security-Scan step 151,Action should succeed,Low,PASSED,2026-07-27 13:04:10,400
B_TC_152,DB-Integrity,Verification - DB-Integrity step 152,Action should succeed,Low,PASSED,2026-07-27 13:04:10,452
B_TC_153,Logic-Validation,Verification - Logic-Validation step 153,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,516
B_TC_154,Rate-Limiting,Verification - Rate-Limiting step 154,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1373
B_TC_155,Auth-API,Verification - Auth-API step 155,Action should succeed,Low,PASSED,2026-07-27 13:04:10,611
B_TC_156,Security-Scan,Verification - Security-Scan step 156,Action should succeed,Low,PASSED,2026-07-27 13:04:10,846
B_TC_157,DB-Integrity,Verification - DB-Integrity step 157,Action should succeed,High,PASSED,2026-07-27 13:04:10,1277
B_TC_158,Logic-Validation,Verification - Logic-Validation step 158,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,690
B_TC_159,Rate-Limiting,Verification - Rate-Limiting step 159,Action should succeed,Low,PASSED,2026-07-27 13:04:10,2147
B_TC_160,Auth-API,Verification - Auth-API step 160,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1350
B_TC_161,Security-Scan,Verification - Security-Scan step 161,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1402
B_TC_162,DB-Integrity,Verification - DB-Integrity step 162,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1589
B_TC_163,Logic-Validation,Verification - Logic-Validation step 163,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1734
B_TC_164,Rate-Limiting,Verification - Rate-Limiting step 164,Action should succeed,Low,PASSED,2026-07-27 13:04:10,732
B_TC_165,Auth-API,Verification - Auth-API step 165,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1897
B_TC_166,Security-Scan,Verification - Security-Scan step 166,Action should succeed,High,PASSED,2026-07-27 13:04:10,2000
B_TC_167,DB-Integrity,Verification - DB-Integrity step 167,Action should succeed,Low,PASSED,2026-07-27 13:04:10,597
B_TC_168,Logic-Validation,Verification - Logic-Validation step 168,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,724
B_TC_169,Rate-Limiting,Verification - Rate-Limiting step 169,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,2179
B_TC_170,Auth-API,Verification - Auth-API step 170,Action should succeed,High,PASSED,2026-07-27 13:04:10,483
B_TC_171,Security-Scan,Verification - Security-Scan step 171,Action should succeed,High,PASSED,2026-07-27 13:04:10,481
B_TC_172,DB-Integrity,Verification - DB-Integrity step 172,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,429
B_TC_173,Logic-Validation,Verification - Logic-Validation step 173,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,820
B_TC_174,Rate-Limiting,Verification - Rate-Limiting step 174,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,2134
B_TC_175,Auth-API,Verification - Auth-API step 175,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1234
B_TC_176,Security-Scan,Verification - Security-Scan step 176,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1274
B_TC_177,DB-Integrity,Verification - DB-Integrity step 177,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,817
B_TC_178,Logic-Validation,Verification - Logic-Validation step 178,Action should succeed,Low,PASSED,2026-07-27 13:04:10,713
B_TC_179,Rate-Limiting,Verification - Rate-Limiting step 179,Action should succeed,High,PASSED,2026-07-27 13:04:10,438
B_TC_180,Auth-API,Verification - Auth-API step 180,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1693
B_TC_181,Security-Scan,Verification - Security-Scan step 181,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1969
B_TC_182,DB-Integrity,Verification - DB-Integrity step 182,Action should succeed,High,PASSED,2026-07-27 13:04:10,832
B_TC_183,Logic-Validation,Verification - Logic-Validation step 183,Action should succeed,High,PASSED,2026-07-27 13:04:10,1748
B_TC_184,Rate-Limiting,Verification - Rate-Limiting step 184,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1317
B_TC_185,Auth-API,Verification - Auth-API step 185,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1993
B_TC_186,Security-Scan,Verification - Security-Scan step 186,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,544
B_TC_187,DB-Integrity,Verification - DB-Integrity step 187,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,778
B_TC_188,Logic-Validation,Verification - Logic-Validation step 188,Action should succeed,High,PASSED,2026-07-27 13:04:10,961
B_TC_189,Rate-Limiting,Verification - Rate-Limiting step 189,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,729
B_TC_190,Auth-API,Verification - Auth-API step 190,Action should succeed,Low,PASSED,2026-07-27 13:04:10,407
B_TC_191,Security-Scan,Verification - Security-Scan step 191,Action should succeed,High,PASSED,2026-07-27 13:04:10,2087
B_TC_192,DB-Integrity,Verification - DB-Integrity step 192,Action should succeed,High,PASSED,2026-07-27 13:04:10,1792
B_TC_193,Logic-Validation,Verification - Logic-Validation step 193,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1474
B_TC_194,Rate-Limiting,Verification - Rate-Limiting step 194,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,796
B_TC_195,Auth-API,Verification - Auth-API step 195,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1246
B_TC_196,Security-Scan,Verification - Security-Scan step 196,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1049
B_TC_197,DB-Integrity,Verification - DB-Integrity step 197,Action should succeed,High,PASSED,2026-07-27 13:04:10,1743
B_TC_198,Logic-Validation,Verification - Logic-Validation step 198,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1220
B_TC_199,Rate-Limiting,Verification - Rate-Limiting step 199,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1922
B_TC_200,Auth-API,Verification - Auth-API step 200,Action should succeed,High,PASSED,2026-07-27 13:04:10,2148
B_TC_201,Security-Scan,Verification - Security-Scan step 201,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,870
B_TC_202,DB-Integrity,Verification - DB-Integrity step 202,Action should succeed,High,PASSED,2026-07-27 13:04:10,2108
B_TC_203,Logic-Validation,Verification - Logic-Validation step 203,Action should succeed,High,PASSED,2026-07-27 13:04:10,1366
B_TC_204,Rate-Limiting,Verification - Rate-Limiting step 204,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1287
B_TC_205,Auth-API,Verification - Auth-API step 205,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,2040
B_TC_206,Security-Scan,Verification - Security-Scan step 206,Action should succeed,Low,PASSED,2026-07-27 13:04:10,805
B_TC_207,DB-Integrity,Verification - DB-Integrity step 207,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,552
B_TC_208,Logic-Validation,Verification - Logic-Validation step 208,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1391
B_TC_209,Rate-Limiting,Verification - Rate-Limiting step 209,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1940
B_TC_210,Auth-API,Verification - Auth-API step 210,Action should succeed,High,PASSED,2026-07-27 13:04:10,887
B_TC_211,Security-Scan,Verification - Security-Scan step 211,Action should succeed,Low,PASSED,2026-07-27 13:04:10,885
B_TC_212,DB-Integrity,Verification - DB-Integrity step 212,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1089
B_TC_213,Logic-Validation,Verification - Logic-Validation step 213,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1522
B_TC_214,Rate-Limiting,Verification - Rate-Limiting step 214,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1083
B_TC_215,Auth-API,Verification - Auth-API step 215,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1312
B_TC_216,Security-Scan,Verification - Security-Scan step 216,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1379
B_TC_217,DB-Integrity,Verification - DB-Integrity step 217,Action should succeed,Low,PASSED,2026-07-27 13:04:10,505
B_TC_218,Logic-Validation,Verification - Logic-Validation step 218,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1721
B_TC_219,Rate-Limiting,Verification - Rate-Limiting step 219,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,817
B_TC_220,Auth-API,Verification - Auth-API step 220,Action should succeed,High,PASSED,2026-07-27 13:04:10,1665
B_TC_221,Security-Scan,Verification - Security-Scan step 221,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1539
B_TC_222,DB-Integrity,Verification - DB-Integrity step 222,Action should succeed,Low,PASSED,2026-07-27 13:04:10,2091
B_TC_223,Logic-Validation,Verification - Logic-Validation step 223,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1668
B_TC_224,Rate-Limiting,Verification - Rate-Limiting step 224,Action should succeed,Low,PASSED,2026-07-27 13:04:10,597
B_TC_225,Auth-API,Verification - Auth-API step 225,Action should succeed,High,PASSED,2026-07-27 13:04:10,1053
B_TC_226,Security-Scan,Verification - Security-Scan step 226,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1925
B_TC_227,DB-Integrity,Verification - DB-Integrity step 227,Action should succeed,Low,PASSED,2026-07-27 13:04:10,704
B_TC_228,Logic-Validation,Verification - Logic-Validation step 228,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1851
B_TC_229,Rate-Limiting,Verification - Rate-Limiting step 229,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1484
B_TC_230,Auth-API,Verification - Auth-API step 230,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1532
B_TC_231,Security-Scan,Verification - Security-Scan step 231,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1917
